Review,Review_rating,,
"The price-performance ratio is better than MG, Creta and other opponents as its size and modern features are very reliable. The wireless charger is also not a common feature. Its infotainment system is of Bose which is commendable. Also, it's an affordable car of its segment.
Read More",5,,
"Super looks and excellent engine. Better experience at a lower price.
",5,,
"Amazing car with new technology updates and runs smoothly.
",5,,
"In one word it's a superb car. The interior and exterior both are superb and have a good suspension. Good space, color combination is also good and look-wise it's superb. The driving experience is ultimate so far. Highly recommended.
Read More",5,,
"The car's performance is superb and its engine is so powerful. It's interior is luxurious and runs smoothly.
",5,,
"5he car nice spacious. The infotainment system is also great .the first in segment thing is the air 1uality control system and the bs6 engine.
",5,,
"Nice look & features as well. Not all good features available in all the top models. Hi-tech. support features.
",5,,
"The best car made by Kia. Seltos give excellent performance and also well comfort. The look of the car is also beautiful.
",5,,
Review,Review_rating,,
"Very wonderful design and technical development are too high this type of car, and also so many features available in the vehicle, more options and more model, vehicle looking is good. I'm seen the car at road very nice and fantastic road presence, one of the my lovely car of this segment, thanks to KIA motors I'm waiting for next Carnival car, als...Read More",4,,
This car is a very wonderfully design by Kia motors. Its headlights are very attractive and the front view of the car is very amazing. Kia Motors are giving the best function in this car of a 360-degree rotating parking camera with sunroof and also 6 airbags. The wooden finish in the interior of this car is very fabulous. Very luxurious sitting in ...Read More,4,,
"Excellent car with top-notch features. Best in its class driving experience. High comfort level and space.
",4,,
"It's a brilliant 5 seated car with heavy power and excellent fuel mileage. It's look is pretty awesome.
",4,,
"Great car to drive and good proportions. There is less body roll at the back. Superb interiors and great tech inside. I heard quite a few comments that servicing is not that great but I have never experienced such an issue. Overall it's good.
Read More",4,,
"Excellent car specification, head-lamp display, alloy wheels are very good and the design is amazing.
",4,,
"Kia Seltos is a great car with good mileage, low maintenance cost and fully feature-loaded car. Amazing body design and perfect interior getting in this car.
",4,,
"Good ride quality, refined engine, and 1.4 petrol motor is a blast to drive. Build quality gives a premium feel. Nice and spacious cabin well-built car.
",4,,
"Nice and bold car Kia Seltos. Looking beautiful, nice shapes and aggressive looks. 
",4,,
"Kia Seltos is a nice car. Also getting very nice interior and exterior in this vehicle.

 
",4,,
Kia Seltos is one of the topmost good cars because of his good performance and many other excellent features at a cheap price. It is a new company which enters in Indian market but set up the best and strong market in the country we should appreciate to all to members who are working for the Kia company and thanks to designer who give this the best...Read More,4,,
"Superb car, it will be a good experience to drive a car like this and it will be ruling on Indian Road in the future. The taught of innovation to make this car for Indians very thankful. The technology used in this car is best for the price tag they have. The shape is the perfect SUV in the market. The LED lights front light everything is perfectly...Read More",4,,
"This car is superb for mileage and looks stylish and furious. This is an awesome car.
",4,,
"It is so well designed and comfortable car. I am glad to see such a car in that budget. First I had a Honda City but KIA is better than it. I and my whole family are enjoying it. It is also perfect for long journeys and from one state to another journey. I also like traveling, so I recommend all this car for travelers. Thank you.
Read More",4,,
"Poor suspension setup. Stiff suspension gives jerks even on smaller bumps. I am surprised why people ignored this. Suspension of Creta is better, best indeed.
",4,,
"Best car with high end features in a medium budget. When this car was launched in India it beat the Tata Harrier and MG Hector but it has a common exterior design that looks like Creta. It doesn't give a fresh look. Peopld liked it because of high features in this car with some more expenses. Due to high sales in India, this company became India's ...Read More",4,,
"Kia is an affordable product for SUV lovers. If we are comparing Kia Seltos or Creta so Kia will definitely wins this segment.
",4,,
"Kia Seltos is the next-generation car with excellent features. It's Style, Performance & interior is Luxurious. I love this car. I'm totally satisfied with this. Sporty Looks & Cool headlights make it more attractive. Also, getting good quality speakers in this car.
Read More",4,,
"Very good car and smoothness of the car is nice and features of the car are awesome. The car looks like an SUV and nice-looking exteriors.
",4,,
"Kia Seltos is a very excellent car, as it offers much more features than other cars in this price range, but its top-end model is not value for money because it offers the smaller engine as compared to its rivals.
Read More",4,,
"Nice car with a lot of features including 360 camera facilities and lot of things which are given the first time in any vehicle in India with low cost and vehicle comfort is high and performance is also good cc is excellent and so on etc enjoy Hia motors enjoy Kia Seltos.
Read More",4,,
I have purchased Seltos HTK PLUS Diesel Automatic car is good in handling and running on roads. But there are some problems in quality car doors is very lightweight inside material is also not so premium as I was thinking. The average is also not so good. The audio system is very awesome with mood lighting features. seats are very comfortable but t...Read More,4,,
"I have this car, it's awesome, I am using this car last three months, I haven't felt any problem and it's very good at driving and price-wise it's really good amazing features, a stylish look which makes it perfect.
Read More",4,,
"Seltos is good, but they need to lower the budget but the car and it is a high-class luxury car. The handling is also very smooth, pickup speed is also superb, the AC cooling is good and superb brakes. But the airbags must be more so that it will ensure safety of the people.
Read More",4,,
"Seltos is an awesome and comfortable car with low maintenance and low price. The facilities available are good looking at high range.
",4,,
"This is a very nice car and the features are very good. People must buy this car. The seats are very nice as well.
",4,,
"Good space and excellent comfort, safer, looks are bold and stylish. The best car in this budget for a small family.
",4,,
"An awesome and classy car with its amazing features and beautiful and classy look. No other car in this range can give take over to Kia Seltos. This is my humble request to Kia to introduce more cars like this and keep going like this.
Read More",4,,
"A compact SUV with the styling, features, and tech to really hit the sweet spot as far as what customers are looking for.
",4,,
"Nice car with suitable features and the cost is also reasonable but the thing is availability. It's not available at all places.
",4,,
Review,Review_rating,,
"Nice car and the design was too awesome. This is the awesome entry of Kia in India. It includes a bose speaker which is too good. In India, this is a first car comes inbuilt bose speakers which are a pretty good thing about the car. The interior was also a good highlight and the exterior was also good. At this price, the car is too good.
Read More",5,,
"Well, a featured car with full specifications and well likable also, I love to ride this car every time and the main part is that it is suitable for every type of person.
Read More",5,,
"This car is a very good choice at this price, body, look, maintenance and service, everything is maintained by Kia India.
",5,,
"The great car really with great interiors and full of new functionality which we haven't seen in any other car in India. Very much spacious and looks amazing.
",5,,
"The Kia Seltos is one of the most eagerly anticipated launches for the year 2019. But before Kia Motors announces the price of the Seltos, we were invited to take the compact SUV for a spin around the streets of Goa.
Read More",5,,
"The excellent new designs and the world's most beautiful car has already buzzed the market. 
",5,,
"Very nice car and very comfortable seats with powerful brakes. The interiors and its seating arrangement are also amazing. Available at affordable prices.
",5,,
"A very comfortable and smooth vehicle. The gear-box is very smooth.
",5,,
"Amazing car with ultimate colors.
",5,,
"Best of 2019 just because it has extra features and good looking interior and exterior design.
",5,,
"The Kia Seltos is good in every possible way, but there is a huge downside to the Seltos in case of pricing, where the vehicle is manufactured in Andhrapradesh the prices must be a bit low as all the other rival are priced very less in spite of manufacturing out of India. There is one thing Kia should implement which is it should provide the essent...Read More",5,,
"Kia entered the Indian market with the SELTOS the one which shook the Hyundai CRETA and takes the first position in the compact SUV segment. It is offered with a 10.25-inch touchscreen display, KIA's UVO connects, air purifier, sunroof, and HUD(Heads Up Display). The car has three engine options all of them available either in manual or automatic t...Read More",5,,
"Good experience while seating on driver seat. It is like, this is the car I was waiting for. It has a 4-star quality, being a middle-class 1 star less for price.
",5,,
"Best in class, good infotainment system, smooth driving and feels like a premium one. For only who can afford it.
",5,,
"The affordable SUV car is so comfortable and it has many functions. It has a sunroof as well. Also available at the cheapest rate as compared to the Venue.
",5,,
"I love the interior of this car This is perfect for the family and It is an affordable good looking car. The front-facing is superb.
",5,,
"It's a nice car and really worth the price. It looks fantastic when it runs like a cheetah on the road. Talking about the safety of the car, absolutely safe car. Power and horsepower are really very powerful. Boot space is also very huge. Radio screen of 8 inches looks perfect and the speakers of BOSE give a clear voice and it has mood light also w...Read More",5,,
"The car gets at the top speed in no time, it is a great car to get the money worth. The Seltos is amazingly featured as well.
",5,,
"This car is very excellent in this price range because in this car there are more additional features.
",5,,
"Very Nice car and feels like luxurious looking XUV. Very comfortable and amazing features. 
",5,,
"SELTOS HAS GIVEN A BIG COMPETITION TO HYUNDAI CRETA IN THIS SEGMENT. THE KIA IS ABSOLUTELY THE KING.
",5,,
"Such an Impeccable Machine with flawless drive, Indomitable power, eye-catching design, and Hushed Engine. Its a feeling of some luxury segment at very competitive pricing. Moreover Interior is just mind-blowing with such soothing acoustic sound. Pocket-friendly for all mileage concern buyers as it easily churns 18 km-22 km per liter depending on c...Read More",5,,
"Wonderfull look this car has, interiors are mind-blowing. This car is fully loaded with multiple features.
",5,,
"I had fun while test driving the demon. A good one with awesome driving excellence. Great build quality and control.
",5,,
"This car is a very silent and very nice car. It has many new, useful features. Quite spacious as well.
",5,,
"A car that is built to conquer the mid-size SUV segment. With all the bells and whistles coming in terms of features and power(1.4 turbo petrol) combined with the variety to choose from, be it types of transmission options and varients and also color options, made to be unique for almost every masterpiece made making it an extreme value for money p...Read More",5,,
"The Kia Seltos has a very different design, and very much comfortable. 
",5,,
"Great performance with dashing looks.
",5,,
"The car looks like SUV but not the real SUV. The petrol engine never makes any noise but here I can see unexpected things. IVT is lazy. Manual petrol and 1.4 is good. Diesel major looks difference from petrol even the grill and the bumper not matching with. Petrol 1.4 and diesel have all the disc brake, not the other petrol. Bose speaker is only av...Read More",5,,
"Very excellent car, the look of the car is impressive and the ride and handling quality is awesome. The interior of the car is so classy, every look of car is so commendable. The color combinations of the car are too good. The alloy of car is mind-blowing and boot space is very much spacious.
Read More",5,,
Review,Review_rating,,
"Very good car with a fantastic front look and have a great boot space. Have sufficient leg space at the back.
",5,,
"Fully feature-loaded SUV. Kia has done excellent work for Indian customers. 5-star for its look, features, and performance.
",5,,
"I'm driving the Kia Seltos HTK+ Diesel model. Overall the car is best. I have driven it 6500kms, but still no issue. Pick up is great. Mileage is around 21kms also best on bad roads. The car is best on curve road to have great grip. Infotainment is good. Some issues with Android Auto gets disconnected within1hr. But with a software update, it will ...Read More",5,,
"It's a pleasure to sit in the car and treats me like a king.
",5,,
"Smooth driving and luxurious car.
",5,,
"Satisfying ride, comfortable seats, powerful beast. I tried other cars in the same price range but no one was comforting as this one.
",5,,
"Most popular car in the world because of looks. Its look is very good and has many features that contain In-car 50-liter storage to fill tanks and many features. This car drives smoothly and this car is best for buying.
Read More",5,,
"I just bought the one but the mileage of the car is not satisfactory. It doesn't give more than 12km/ltr.
",5,,
"New in the Indian market, Kia Seltos is everything that one needs in a mid-size SUV. Value for money, indeed.
",5,,
"Good car with the futuristic and latest tech, appealing to masses especially gen x,y, and z. Looks sturdy, has road presence and a differentiator when runs on the road, a masculine look which is attracting most of the young people. Multiple variants and both manual and auto transmission options make it a top seller. The only area where it needs to ...Read More",5,,
"Fantastic tuned engine, hi-tech entertainment system, great build quality, comfortable seats and decor, first time ever air filters in the car and brilliant suspension. I have been driving Seltos HTX Diesel for 1000 km now and the car never ceases to surprise. More airbags could have helped and the rear seat could have been a bit longer for support...Read More",5,,
"It's a good looking car, nice performance, comfort level is good and luxurious. The interior is very attractive and of good quality.
",5,,
"Very good car in budget with the best performance, low maintenance and undoubtedly controlling is also very well.
",5,,
"A very good car, in this price tag they gave all premium interiors but the only thing petrol DCT transmission heats up.
",5,,
"These new entrants are not as per the safety norms. Only features and comprising on safety. People in India are not looking at safety ratings while purchasing a car like playing with life. This is well understood by these vehicle manufacturers and hence they are putting only features. I think safety should be first.
Read More",5,,
"If we talk about the overall ratings of Seltos, no one can give a proper review. When I started the engine, the sound was so negligible that I cannot tell you the silence in the cabin. The power to thrust ratio is well explained in this Car. Even if you scale at 3rd gear. The engine seems to be smooth and amazing. I would suggest Seltos over The He...Read More",5,,
"The car is great at handling and suspension is set good for the Indian roads. Good design in exterior as well as interior, The engine shows good aggressiveness in the real world. Offroad experience is good too because of the suspension and the projector headlights. The space that the car offers in the second row and in the boot is pretty good. The ...Read More",5,,
"Excellent SUV with modern technology, style, performance, handling, comfort. Perfect vehicle by Kia. Impressed with the long list of features including Head's up display, Air purifier, 360 camera with the blind-spot camera. Kia plays a key role in the Indian market.
Read More",5,,
"Kia Seltos is providing all features in under 10 lakh price range. An awesome car as compared to other cars. Mostly, getting all the safety features in this car.
",5,,
"Seltos is a big hit in India. Kia released their first car and got a massive hike. The horsepower and 1-liter turbo charge is just lit. It became the fourth largest car producing companies in India already. The screen in the car is just awesome and should've got panoramic sunroof competing for the MG Hector. The speed is pretty good.
Read More",5,,
"The best car in the segment and is quite affordable.
",5,,
"Great design and silent cabin with good ground clearance. Comfortable to drive for longer travel.
",5,,
"I had a test drive and the performance and comfort were good. The riding position should have been better.
",5,,
"This car is unbelievable due to its features and looks it has.
",5,,
"Best experience with new Kia. Fully loaded with Hi-Tech features. Enjoying the drive as this is the most amazing car ever.
",5,,
"A fabulous car which is very much extra-ordinary.
",5,,
"Really an amazing car and a very smooth car.
",5,,
"The Kia Seltos is a bit more expensive but offers a lot more for it in terms of safety and features. It is well worth the premium over the MG Hector
",5,,
"The most beautiful car than other companies currently in India. I don't know much about this company but this is the best car for everyone because this is a very powerful car and the model is very nice looking and indicators are comparing with Audi and the price is very suitable than other companies.
Read More",5,,
"The Kia Seltos is very excellent in looks. Its alloy wheel looks great and the front fog lamps and big headlights with DRLs looks are pretty much fascinating. This mid-size SUV is too good in this range. Kia Seltos is better than MG Hector and Hyundai Creta. Kia Seltos's front view is looking aggressive and side view of Seltos is just amazing.
Read More",5,,
Review,Review_rating,,
"This is actually the best offering in the current price range. People have been cribbing about features, well then pay for it! You forget it's technically not an Indian company, so taxes are more! The range-topping GTX+ model which now also comes in both petrol and diesel comes with features that none of the vehicles in the current market offer. 6 ...Read More",5,,
"Kia Seltos is the one in a class after much-awaiting finally release this car with all the most useful features. Kia Seltos the car with ease. The vehicle drives very smooth and you can get very attached and comfortable within its first 5 seconds of the drive. Interior is refreshing, the led wall is a gem. Smooth drive brings you comfort. Looks are...Read More",5,,
"Kia Seltos is a very spacious car and the interiors are awesome. Very good ground clearance is very good. Seating capacity is 5, engine power is boosted. The pick up is very good. Mileage is ok.
Read More",5,,
"It looks very different as it has a sunroof and is a five-seater car. The boot space is also bigger than other cars.
",5,,
"Best in the segment car and strongly suggest you take a good long hard look at the Kia Seltos. It's a compact SUV that looks super promising, offers a lot and from our first drive experience and felt the moment.
Read More",5,,
"Kia Seltos is a nice car and also getting good legroom, headroom and overall spacious car. Kia is one of the best companies which offers a passenger vehicle with all the best possible features.
Read More",5,,
"Best in class and very cool engine and best breaking system good engine sound interior has very good finishing.
",5,,
"Looks are definitely the best. But it lacks good suspension. It's a little bit hard. It gives a very premium feel while I enter in it. Full of features.
",5,,
"Very good car in terms of technology and ride experience, but if it was fuel electric it would have been much better.
",5,,
"This car is really very good at having a very excellent performance. I love this car because of its awesome interior and very good features at very low rates.
",5,,
I am a big fan of Kia. When I was in South Korea my brother bought a Kia optimum. When Kia launched its first car Seltos in India. I bought that. And I am very happy to buy this car. Its mileage is OMG! Very very good. The pickup is very good. It's very smooth. It looks very sharp. And it is as comfortable as a Jaguar. And successfully it is the to...Read More,5,,
"Excellent Features and at par with luxury cars like BMW and Benz etc. I was using Ford Ecosport which was much stronger than Kia Seltos. Transmission temperature increases and you are forced to stop in traffic. Except for the strength and heaviness of the car, looks-wise It is very elegant.
Read More",5,,
"Looking nice and has a good performance as well. One of the best SUV of the current time, autonomous and voice control are amazing.
",5,,
"Perfect car of the year loved all its features in this car. No car can beat the accessories the technology provided in this car.
",5,,
"Excellent features are loaded like premium cars. The look is great and awesome Cost is very competitive in the SUV segment.
",5,,
"This car is just amazing with a bunch of features and this is the best in-car segment, it is just amazing for youngsters.
",5,,
"The interior and exterior are very nice and beautiful.
",5,,
It's the best car in the price range and gives me the phenomenal performance that an SUV owner wants. It's my pleasure to have a Kia in my house. This car has an outstanding fuel economy compared to other car. The car comes with a good dynamic look and with outstanding features that will help you in your daily life. The car comes with a sunroof tha...Read More,5,,
"Great features the car has. Amazing mileage and great performance.
",5,,
"Well, this car is one of the best premium SUVs you can buy today, with features like air purification and the mirrors that show the side view of the car for an added layer of safety. It's the best mid-sized SUV you can buy. Interiors give it a premium look, and yes drives like a charm.
Read More",5,,
I like every part of the Kia Seltos as the seats are very comfortable. The look is superb. The speedometer is stylish. The red colour is best Kia Seltos has multiple engine options as I want. This car is available in petrol as I want a petrol car. All engine has an automatic gearbox. The car has air purifier Car has a Bose sound system. Connect car...Read More,5,,
"Great car in the SUV segment and worth buying. The interior looks top-notch. Also, you get a smooth feeling while driving. I did a test drive and it feels wonderful. Highly recommended.
Read More",5,,
"Awesome car, with best in class, Bose music system and the front grill of the car is also amazing along with the day time running LED.
",5,,
"This car looks amazing and also has a 360-degree camera view, which is very rare.
",5,,
"Kia Seltos is the best in class, comparatively, it's not a box, the base variant is also carrying all necessary features. The music system and multifunction steering are available in all models.
Read More",5,,
"It comes with awesome features. Its automatic gear shifting is smooth and seats are very comfortable. All windows are also automatic. 
",5,,
"This is a car I was looking for and the features of this car are amazing. It's comfortable on Indian roads. This car has every feature, which an ideal car should have. Not only the interior is great, but the exterior is also commendable.
Read More",5,,
"The car looks like a beast and the engine power is great, the Bose sound system is top-notch, and the 360-degree camera view is very helpful.
",5,,
"The smoothest experience I have ever had was in this car. So much of class and performance in this car I just loved it.
",5,,
"According to me, Kia Seltos is best. Best in Comfortable, best in mileage, best in look. In short, an amazing car.
",5,,
Review,Review_rating,,
"Superb sound quality sound system and excellent future car. Mind-blowing look, low price best design. Segment 1st Smart Heads-Up Display. World's 1st SmartPure Air Purifier. Bose Premium Sound System with 8 speakers & LED Sound Mood lights with straight Line designs and World-Class Quality.
Read More",5,,
The look is best. And the interior is awesome And technology is mind-blowing by comparison to another car like MG Hector and others. The engine power of the KIA Seltos is best. And the drive is very smooth. The KIA Seltos have soo much Space for comfort setting.  And also have soo much function on the dashboard. The dashboard of the KIA Seltos is f...Read More,5,,
"Kia is the best car that is safe & smooth. Available at the best price.
",5,,
"Awesome car with a Bose music system. Far better than Hyundai's Creta. Great riding experience with KIA and within the budget.
",5,,
"Amazing driving experience being a cousin of Hyundai, Kia gives more money value but MG has better space and features.
",5,,
"Amazing features, excellent road presence with safety features and comfort within the budget.
",5,,
"Great car with multiple features. Highly recommended.
",5,,
"It's a good product from Kia. It is a great allrounder in all aspects. It's a clear rival for segment leader Creta. Seltos is a great car, balancing pocket and commendable performance. Even it proved that it's far better than India's most awaited SUV Hector from MG motors. Ultimately its a great start to Kia in India.
Read More",5,,
"Kia Seltos is an awesome car with a great look. Also, getting average mileage in this vehicle.

 
",5,,
"Kia Seltos is the Beautiful Compact SUV. It is the best car in the 10 lac budget range.
",5,,
"NO ONE CAN FIND A BETTER SUV THAN KIA SELTOS. ITS AMAZING LOOKS AND BODY ALIGNMENT ARE SOO GOOD AND TOUGH. INTERIORS ARE BEST OF ITS CLASS. I WOULD RECOMMEND YOU TO BRING HOME KIA SELTOS AND HAVE FUN LONG TRIPS WITH YOUR FAMILY. IT'S BEST WHEN ITS COMES TO ALL-TERRAIN, SO GIVE YOUR FAMILY A PLEASURE OF RIDING A GOD OF CHARIOTS.
Read More",5,,
"The car looks amazing, The DRL's are attractive and the touch screen display has a really good response; but the car couldn't get 5 stars as the speedometer and the touch display could be more stunning which would upgrade the interior to a whole another level; Even though the dual-tone interior is interesting. The design of the car will stand out a...Read More",5,,
"The car is awesome. I bought the Seltos 1.4T GTX Plus Manual and the engine & gearbox are really smooth which delivers an unbelievable power. The cabin of the car is so well built that all the buttons and switches are at your fingertips. 360-degree camera, Blindspot view, Bose speakers, Ventilated seats and HUD makes the car superb. NVH levels are ...Read More",5,,
"Amazing experience, however, a bit expensive when compared to MG Hector. It is very spacious and is affordable.
",5,,
"Car is very comfortable and has classy looks. I have purchased Kia Seltos GTX+ DCT in the month of October from Pune dealer. I have been around for three weeks. But since the very first day, I noticed a very annoying sound coming from rear of the vehicle. I have tried all possible things like removing all lose attachments and items from the car but...Read More",5,,
"Pickup and mileage are amazing. The comfort level up to the mark.
",5,,
"One of the best cars in 2019 by Kia. Features in the car are amazing.
",5,,
"Great looks and amazing transmission features. Aux, A.C., and rear parking camera are wonderful.
",5,,
"DON'T BUY SELTOS:

1=WASTE OF TIME AND MONEY.

2=COST WISE HIGH-QUALITY WISE LOW.

3=MILEAGE TOO LOW.

4=I'M BUYING A GTX 7 DCT AUTOMATIC TRANSMISSION PETROL AS I HAD A LOT OF TROUBLE IN MY VEHICLE.

FAULT CAN START IN BELOW MENTIONED FACTORS:

1, A.C. NOT WORKING AS WELL.

2, THE BRAKING SYSTEM IS OLDER THEN AMBASSADOR.

3, MILEAGE IS BELOW 12 KM ...Read More",5,,
"This car is aggressive & beautiful in this segment. This car fully loaded with features.
",5,,
"Kia Seltos is an awesome car from my experience. Good for long routes and quite spacious with comfort and relief. Happy with features of the car. Family and friends appreciated my choice and also wants always to ride my car.
Read More",5,,
"Kia Seltos the best automotive made by Kia. It has a 7.5 to 8.1inch screen which provides car information and navigation. There is also a head-up display through which you can get essential information such as speed. It is a good car in terms of safety which carries 4 airbags in the top variant. Even in the low variant, the safety measures are amaz...Read More",5,,
"Excellent car in this price as it gives great value and great comfort for long drives. Also, it is very spacious.
",5,,
"Kia Seltos is a very good car. It has new features with a triggered mileage. It's quite comfortable within the budget.
",5,,
"Very nice car and superb features. It looks amazing and gives a feel which is quite comfortable.
",5,,
"It's an amazing experience as the drive is very much comfortable. It has many features to entertain and gives a wonderful experience to the passengers as well.
",5,,
"Good car with the best features within the budget. The interior and the seats of the car make it luxurious.
",5,,
"Nice car with lot more features. Fully loaded with multiple features, the best features is the 360-degree camera.
",5,,
"It was the best experience for me. I enjoyed it thoroughly.
",5,,
"This is the best car in my budget as the features available are amazing including the interior and the exteriors.
",5,,
Review,Review_rating,,
"Best car in its segment. Excellent drivability, superb engine, amazing ergonomics, wonderful comfort, and humongous space. The car is a total package of comfort and performance. Seats are adjustable for both driver and front passenger side. Loads of legroom for the rear passengers. Excellent boot space. Better buy than Jeep Compass or Hyundai Creta...Read More",5,,
"Features loaded car beyond expectations. Wonderful engine, superb interior with amazing quality, fabulous fit, and world-class finish.
",5,,
"A very nice car with bose speakers, which is not available in other cars in its segment. Worth buying it. This car is spacious, safe, powerful. This car comes with 6 airbags, sufficient boot space, and sunroof. Ambient mood lighting gives a luxurious and soothing experience.
Read More",5,,
"We brought the Kia Seltos HTK in petrol 2 months ago and the car is fabulous. You get all the features even in the base variant. You name it and its there. It has a 6 speaker JBL music system, an intelligent MID projector setup for both headlamps and foglamps. It is a very nice car and you should buy it instead of its rivals. However, spare parts a...Read More",5,,
"Best and fully loaded car. Kia Seltos is also the best value of money. This car is manageable and is luxurious.
",5,,
"Very nice SUV, a great combination of comfort, features, and style. Value for money car with luxury features, good handling, and great braking.
",5,,
"Nice design and engine are powerful and advanced. Speed and mileage are up to the mark. Available within the budget.
",5,,
"The best performance and unique look make it striking. The detailed review of this car can not be expressed in just a few words.
",5,,
"This car has a very comfortable sitting arrangement and a very good leg space.
",5,,
"To be very honest this SUV has a sporty look and as per the company, it has a thrilling design, including the interior. Highly recommended.
",5,,
"Kia Seltos became one of the best prime SUV cars of this era in India. The car has a best-finished premium looking with ultimate build quality till now in the Indian car market. In this price range, it gives many loaded features as follows: 

1. It has a 360-degree camera.

2. Both front and rear parking assistance are given.

3. Has an adequate bo...Read More",5,,
"Kia as soon as it landed in India came with a bang for the buck competing with its sister company Hyundai's Creta, the Jeep Compass and the MG Hector which again was recently launched. Seltos gave us a variety of features with 2 lineups total of 5 variants that can suit your choice and has premium features.
Read More",5,,
"I brought Seltos HTX one week back. This is my 6th car following Innova Crysta, XUV500, Duster, Honda City, and Dzire. I can safely say that this is the best overall car in this price range presently. This car is a near-perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are amazing, refinement is excellent, NVH l...Read More",5,,
"I felt very glad by its modern advanced technology and innovative design still, it's so smart due to Long-Durability, Safe, Secure and Lightweight. It's one of my favorite cars known for \Kia Seltos\""", we would feel simple by architecture style ever.,,
"Read More""",5,,
